"","popid","x","y","habitat.suit"
"53",53,-86.865057205,48.78415918,0.377095997333527
"54",54,-86.815557205,48.78415918,0.377095997333527
"55",55,-86.766057205,48.78415918,0.377095997333527
"56",56,-86.617557205,48.78415918,0.377095997333527
"57",57,-86.568057205,48.78415918,0.377095997333527
"58",58,-86.518557205,48.78415918,0.377095997333527
"59",59,-86.469057205,48.78415918,0.249034002423286
"60",60,-86.419557205,48.78415918,0.249034002423286
"61",61,-88.300557205,48.73465918,0.204723000526428
"62",62,-88.053057205,48.73465918,0.204723000526428
"63",63,-88.003557205,48.73465918,0.204723000526428
"64",64,-86.617557205,48.73465918,0.377095997333527
"65",65,-86.568057205,48.73465918,0.377095997333527
"66",66,-86.370057205,48.73465918,0.249034002423286
"67",67,-88.300557205,48.68515918,0.204723000526428
"68",68,-88.152057205,48.68515918,0.204723000526428
"69",69,-86.370057205,48.68515918,0.249034002423286
"70",70,-88.647057205,48.63565918,0
"71",71,-88.597557205,48.63565918,0
"72",72,-88.548057205,48.63565918,0
"73",73,-88.350057205,48.63565918,0.204723000526428
"74",74,-88.300557205,48.63565918,0.204723000526428
"75",75,-88.251057205,48.63565918,0.204723000526428
"76",76,-88.152057205,48.63565918,0.204723000526428
"77",77,-88.102557205,48.63565918,0.204723000526428
"78",78,-86.271057205,48.63565918,0.249034002423286
"79",79,-88.647057205,48.58615918,0
"80",80,-88.449057205,48.58615918,0.204723000526428
"81",81,-88.399557205,48.58615918,0.204723000526428
"82",82,-88.350057205,48.58615918,0.204723000526428
"83",83,-86.271057205,48.58615918,0.249034002423286
"84",84,-88.993557205,48.53665918,0
"85",85,-88.944057205,48.53665918,0
"86",86,-88.894557205,48.53665918,0
"87",87,-88.696557205,48.53665918,0
"88",88,-88.647057205,48.53665918,0
"89",89,-88.498557205,48.53665918,0.204723000526428
"90",90,-88.449057205,48.53665918,0.204723000526428
"91",91,-88.399557205,48.53665918,0.204723000526428
"92",92,-86.221557205,48.53665918,0.249034002423286
"93",93,-89.191557205,48.48715918,0.318457007408142
"94",94,-89.142057205,48.48715918,0.318457007408142
"95",95,-89.092557205,48.48715918,0.318457007408142
"96",96,-88.795557205,48.48715918,0.538142025470734
"97",97,-88.696557205,48.48715918,0.538142025470734
"98",98,-88.548057205,48.48715918,0.538142025470734
"99",99,-86.221557205,48.48715918,0.482095986604691
"100",100,-89.241057205,48.43765918,0.318457007408142
"101",101,-89.191557205,48.43765918,0.318457007408142
"102",102,-88.746057205,48.43765918,0.538142025470734
"103",103,-88.696557205,48.43765918,0.538142025470734
"104",104,-88.548057205,48.43765918,0.538142025470734
"105",105,-86.221557205,48.43765918,0.482095986604691
"106",106,-89.241057205,48.38815918,0.318457007408142
"107",107,-88.845057205,48.38815918,0.538142025470734
"108",108,-88.746057205,48.38815918,0.538142025470734
"109",109,-88.647057205,48.38815918,0.538142025470734
"110",110,-86.172057205,48.38815918,0.482095986604691
"111",111,-89.241057205,48.33865918,0.318457007408142
"112",112,-88.894557205,48.33865918,0.538142025470734
"113",113,-88.845057205,48.33865918,0.538142025470734
"114",114,-88.795557205,48.33865918,0.538142025470734
"115",115,-86.172057205,48.33865918,0.482095986604691
"116",116,-86.122557205,48.28915918,0.482095986604691
"117",117,-89.290557205,48.23965918,0.318457007408142
"118",118,-86.122557205,48.23965918,0.482095986604691
"119",119,-89.290557205,48.19015918,0.318457007408142
"120",120,-86.073057205,48.19015918,0.482095986604691
"121",121,-89.389557205,48.14065918,0.318457007408142
"122",122,-89.340057205,48.14065918,0.318457007408142
"123",123,-86.023557205,48.14065918,0.482095986604691
"124",124,-89.488557205,48.09115918,0.318457007408142
"125",125,-89.439057205,48.09115918,0.318457007408142
"126",126,-89.389557205,48.09115918,0.318457007408142
